"bsv"	"corpus"	"entity"	"lemma"	"prefLabel"	"context before"	"context after"	"location"	"number of words"	"features"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabGC.html/20180911_bsv_grandes_cultures-26_cle0f15a8.html"	"d2kab"	"levée"	"levée"	"stade secondaire BBCH 009 "	"uvette jaune dès la"	"pour suivre les pet"	"97-102"	"2545"	"type=RDFProjector, uri=http://ontology.inrae.fr/ppdo/ontology/bbch_globalScale_secondaryStage_BBCH009, skos-prefLabel=stade secondaire BBCH 009 , form=levée"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabGC.html/20180911_bsv_grandes_cultures-26_cle0f15a8.html"	"d2kab"	"feuilles étalées"	"feuille étalé"	"stade Baggiolini E de la vigne "	"du stade semis à 3"	". Les semis sont enc"	"729-745"	"2545"	"type=PATTERN_BAGGIOLINI, uri=http://ontology.inrae.fr/ppdo/resource/grapevine#baggiolini_grapevine_secondaryStage_E, skos-prefLabel=stade Baggiolini E de la vigne , form=feuilles étalées"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabGC.html/20180911_bsv_grandes_cultures-26_cle0f15a8.html"	"d2kab"	"Germination"	"germination"	"stade principal BBCH 0"	"% 8% 8% 8% 0% Semis"	"levée cotylédons ét"	"942-953"	"2545"	"type=RDFProjector, uri=http://ontology.inrae.fr/ppdo/ontology/bbch_globalScale_principalStage_BBCH0, skos-prefLabel=stade principal BBCH 0, form=Germination"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabGC.html/20180911_bsv_grandes_cultures-26_cle0f15a8.html"	"d2kab"	"levée"	"levée"	"stade secondaire BBCH 009 "	"r le semis pour une"	"rapide et un bon dé"	"3024-3029"	"2545"	"type=RDFProjector, uri=http://ontology.inrae.fr/ppdo/ontology/bbch_globalScale_secondaryStage_BBCH009, skos-prefLabel=stade secondaire BBCH 009 , form=levée"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabGC.html/20180911_bsv_grandes_cultures-26_cle0f15a8.html"	"d2kab"	"germination"	"germination"	"stade principal BBCH 0"	"ode de risque De la"	"au stade 3 feuilles"	"3178-3189"	"2545"	"type=RDFProjector, uri=http://ontology.inrae.fr/ppdo/ontology/bbch_globalScale_principalStage_BBCH0, skos-prefLabel=stade principal BBCH 0, form=germination"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabGC.html/20180911_bsv_grandes_cultures-26_cle0f15a8.html"	"d2kab"	"levée"	"levée"	"stade secondaire BBCH 009 "	"ns climatiques à la"	", des dégâts observé"	"3459-3464"	"2545"	"type=RDFProjector, uri=http://ontology.inrae.fr/ppdo/ontology/bbch_globalScale_secondaryStage_BBCH009, skos-prefLabel=stade secondaire BBCH 009 , form=levée"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabGC.html/20180911_bsv_grandes_cultures-26_cle0f15a8.html"	"d2kab"	"levée"	"levée"	"stade secondaire BBCH 009 "	"être observées à la"	"ou dans les premièr"	"5180-5185"	"2545"	"type=RDFProjector, uri=http://ontology.inrae.fr/ppdo/ontology/bbch_globalScale_secondaryStage_BBCH009, skos-prefLabel=stade secondaire BBCH 009 , form=levée"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabGC.html/20180911_bsv_grandes_cultures-26_cle0f15a8.html"	"d2kab"	"levée"	"levée"	"stade secondaire BBCH 009 "	"ndant la période de"	"du colza pour limit"	"5708-5713"	"2545"	"type=RDFProjector, uri=http://ontology.inrae.fr/ppdo/ontology/bbch_globalScale_secondaryStage_BBCH009, skos-prefLabel=stade secondaire BBCH 009 , form=levée"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabGC.html/20180911_bsv_grandes_cultures-26_cle0f15a8.html"	"d2kab"	"levée"	"levée"	"stade secondaire BBCH 009 "	"ode de risque De la"	"au stade 3 feuilles"	"5973-5978"	"2545"	"type=RDFProjector, uri=http://ontology.inrae.fr/ppdo/ontology/bbch_globalScale_secondaryStage_BBCH009, skos-prefLabel=stade secondaire BBCH 009 , form=levée"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabGC.html/20180911_bsv_grandes_cultures-26_cle0f15a8.html"	"d2kab"	"levée"	"levée"	"stade secondaire BBCH 009 "	"les insectes Dès la"	"du colza, installez"	"6153-6158"	"2545"	"type=RDFProjector, uri=http://ontology.inrae.fr/ppdo/ontology/bbch_globalScale_secondaryStage_BBCH009, skos-prefLabel=stade secondaire BBCH 009 , form=levée"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabGC.html/20180911_bsv_grandes_cultures-26_cle0f15a8.html"	"d2kab"	"levée"	"levée"	"stade secondaire BBCH 009 "	"ode de risque De la"	"au stade 3 feuilles"	"7431-7436"	"2545"	"type=RDFProjector, uri=http://ontology.inrae.fr/ppdo/ontology/bbch_globalScale_secondaryStage_BBCH009, skos-prefLabel=stade secondaire BBCH 009 , form=levée"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabGC.html/20180911_bsv_grandes_cultures-26_cle0f15a8.html"	"d2kab"	"levée"	"levée"	"stade secondaire BBCH 009 "	"uil de risque De la"	"au stade 6 feuilles"	"8845-8850"	"2545"	"type=RDFProjector, uri=http://ontology.inrae.fr/ppdo/ontology/bbch_globalScale_secondaryStage_BBCH009, skos-prefLabel=stade secondaire BBCH 009 , form=levée"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabGC.html/20181002_bsv_grandes_cultures_29_cle0423a6.html"	"d2kab"	"feuilles étalées"	"feuille étalé"	"stade Baggiolini E de la vigne "	"tade 3 feuilles à 7"	". Une majorité des p"	"1512-1528"	"2438"	"type=PATTERN_BAGGIOLINI, uri=http://ontology.inrae.fr/ppdo/resource/grapevine#baggiolini_grapevine_secondaryStage_E, skos-prefLabel=stade Baggiolini E de la vigne , form=feuilles étalées"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabGC.html/20181002_bsv_grandes_cultures_29_cle0423a6.html"	"d2kab"	"levée"	"levée"	"stade secondaire BBCH 009 "	"% 5% 0% 5% 0% 5% 0%"	"cotylédons étalés 3"	"2047-2052"	"2438"	"type=RDFProjector, uri=http://ontology.inrae.fr/ppdo/ontology/bbch_globalScale_secondaryStage_BBCH009, skos-prefLabel=stade secondaire BBCH 009 , form=levée"
