"bsv"	"number of words"	"html tag"	"context before"	"form"	"lemma"	"prefLabel"	"context after"	"location"	"features"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/01_TB_Als_cle8c6253.html"	"446"	"html"	"t plantes parasites"	"Tabac"	"tabac"	"tabac"	"Quelques serres ont"	"469-474"	"IRI=http://ontology.inrae.fr/frenchcropusage/Tabac, tomap-classifier=exact, similarity=1.0, skos-prefLabel=tabac, skos-prefLabel=tabac, skos-prefLabel=tabac, skos-prefLabel=tabac, skos-prefLabel=tabac, skos-prefLabel=tabac, lemma=tabac, form=Tabac"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/01_TB_Als_cle8c6253.html"	"446"	"html"	"d'éparpiller de la"	"paille"	"paille"	"céréale à paille"	", du miscanthus broy"	"1613-1619"	"IRI=http://ontology.inrae.fr/frenchcropusage/Cereales_paille, tomap-classifier=exact, similarity=1.0, skos-prefLabel=céréale à paille, skos-prefLabel=céréale à paille, skos-prefLabel=céréale à paille, lemma=paille, form=paille"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/05_GC_Als_cle8c3f61.html"	"854"	"html"	""	"Grandes cultures"	"grand culture"	"grande culture"	"N°5 du 24 mars 201"	"1-17"	"IRI=http://ontology.inrae.fr/frenchcropusage/Grandes_cultures, tomap-classifier=exact, similarity=1.0, skos-prefLabel=grande culture, skos-prefLabel=grande culture, lemma=grandculture, form=Grandes cultures"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/05_GC_Als_cle8c3f61.html"	"854"	"html"	"es feuilles. Oïdium"	"ORGE"	"orge"	"orge"	"On observe de façon"	"348-352"	"IRI=http://ontology.inrae.fr/frenchcropusage/Orges, tomap-classifier=exact, similarity=1.0, skos-prefLabel=orge, lemma=orge, form=ORGE"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/05_GC_Als_cle8c3f61.html"	"854"	"html"	"NIES SUR CEREALES A"	"PAILLE"	"paille"	"céréale à paille"	"Les températures cl"	"580-586"	"IRI=http://ontology.inrae.fr/frenchcropusage/Cereales_paille, tomap-classifier=exact, similarity=1.0, skos-prefLabel=céréale à paille, skos-prefLabel=céréale à paille, skos-prefLabel=céréale à paille, lemma=paille, form=PAILLE"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/05_GC_Als_cle8c3f61.html"	"854"	"html"	"argement profité au"	"blé"	"blé"	"blé"	". Le redressement a"	"662-665"	"IRI=http://ontology.inrae.fr/frenchcropusage/Bles, tomap-classifier=exact, similarity=1.0, skos-prefLabel=blé, skos-prefLabel=blé, lemma=blé, form=blé"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/05_GC_Als_cle8c3f61.html"	"854"	"html"	"écoces. Oscinie sur"	"céréales à paille"	"céréale à paille"	"céréale à paille"	"Des dégâts d'oscini"	"810-827"	"IRI=http://ontology.inrae.fr/frenchcropusage/Cereales_paille, tomap-classifier=exact, similarity=1.0, skos-prefLabel=céréale à paille, skos-prefLabel=céréale à paille, skos-prefLabel=céréale à paille, lemma=céréaleàpaille, form=céréales à paille"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/05_GC_Als_cle8c3f61.html"	"854"	"html"	"et une parcelle de"	"blé"	"blé"	"blé"	"du réseau. Ces dégâ"	"910-913"	"IRI=http://ontology.inrae.fr/frenchcropusage/Bles, tomap-classifier=exact, similarity=1.0, skos-prefLabel=blé, skos-prefLabel=blé, lemma=blé, form=blé"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/05_GC_Als_cle8c3f61.html"	"854"	"html"	"écocement. Comme en"	"maïs"	"maïs"	"maïs"	", les attaques d'osc"	"1006-1010"	"IRI=http://ontology.inrae.fr/frenchcropusage/Mais, tomap-classifier=exact, similarity=1.0, skos-prefLabel=maïs, lemma=maïs, form=maïs"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/05_GC_Als_cle8c3f61.html"	"854"	"html"	"lage important : la"	"céréale"	"céréale"	"céréale"	"prend l'aspect d'un"	"1147-1154"	"IRI=http://ontology.inrae.fr/frenchcropusage/Cereales, tomap-classifier=exact, similarity=1.0, skos-prefLabel=céréale, skos-prefLabel=céréale, skos-prefLabel=céréale, skos-prefLabel=céréale, lemma=céréale, form=céréale"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/05_GC_Als_cle8c3f61.html"	"854"	"html"	"ler pondre dans les"	"maïs"	"maïs"	"maïs"	". L'intensité des at"	"1389-1393"	"IRI=http://ontology.inrae.fr/frenchcropusage/Mais, tomap-classifier=exact, similarity=1.0, skos-prefLabel=maïs, lemma=maïs, form=maïs"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/05_GC_Als_cle8c3f61.html"	"854"	"html"	"t plus faible qu'en"	"maïs"	"maïs"	"maïs"	". Maladies Sur certa"	"1551-1555"	"IRI=http://ontology.inrae.fr/frenchcropusage/Mais, tomap-classifier=exact, similarity=1.0, skos-prefLabel=maïs, lemma=maïs, form=maïs"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/05_GC_Als_cle8c3f61.html"	"854"	"html"	"l Union. Symptôme """	"poireau"	"poireau"	"poireau"	""" Larve dans une pl"	"2173-2180"	"IRI=http://ontology.inrae.fr/frenchcropusage/Poireaux, tomap-classifier=exact, similarity=1.0, skos-prefLabel=poireau, lemma=poireau, form=poireau"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/05_GC_Als_cle8c3f61.html"	"854"	"html"	"ançon de la tige du"	"colza"	"colza"	"colza"	"Le vol qui a débuté"	"2797-2802"	"IRI=http://ontology.inrae.fr/frenchcropusage/Colzas, tomap-classifier=exact, similarity=1.0, skos-prefLabel=colza, lemma=colza, form=colza"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/05_GC_Als_cle8c3f61.html"	"854"	"html"	"à 9 méligèthes par"	"plante
Colza"	"plante colza"	"colza de printemps"	"handicapé, peu vigo"	"4007-4019"	"IRI=http://ontology.inrae.fr/frenchcropusage/Colzas_printemps, tomap-candidate-head=plante, tomap-concept-synonym=colza printemps, tomap-significant-head=Colza, tomap-classifier=head, similarity=0.5, skos-prefLabel=colza de printemps, skos-prefLabel=colza de printemps, lemma=plantecolza, form=plante
Colza"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/05bsv_jevi_20190502_cle8f22b6.html"	"4203"	"html"	"ACTUALITÉS"	"JARDINS ORNEMENTAUX"	"jardin ornemental"	"zone non agricole"	"BuisPsylle : présen"	"13-32"	"IRI=http://ontology.inrae.fr/frenchcropusage/Zones_non_agricoles, tomap-candidate-head=Jardin, tomap-concept-synonym=jardins, tomap-significant-head=Jardin, tomap-classifier=head, similarity=0.5, skos-prefLabel=zone non agricole, skos-prefLabel=zone non agricole, skos-prefLabel=zone non agricole, skos-prefLabel=zone non agricole, skos-prefLabel=zone non agricole, lemma=jardinornemental, form=JARDINS ORNEMENTAUX"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/05bsv_jevi_20190502_cle8f22b6.html"	"4203"	"html"	"âts en augmentation"	"Rosier"	"rosier"	"rosier"	"Aphrophore - cicade"	"150-156"	"IRI=http://ontology.inrae.fr/frenchcropusage/Rosiers, tomap-classifier=exact, similarity=1.0, skos-prefLabel=rosier, skos-prefLabel=rosier, lemma=rosier, form=Rosier"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/05bsv_jevi_20190502_cle8f22b6.html"	"4203"	"html"	"es premières larves"	"POTAGERS"	"potager"	"jardins familiaux"	"ChouAltise : impact"	"321-329"	"IRI=http://ontology.inrae.fr/frenchcropusage/Cultures_jardins_familiaux, tomap-classifier=exact, similarity=1.0, skos-prefLabel=jardins familiaux, skos-prefLabel=jardins familiaux, skos-prefLabel=jardins familiaux, skos-prefLabel=jardins familiaux, skos-prefLabel=jardins familiaux, lemma=potager, form=POTAGERS"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/05bsv_jevi_20190502_cle8f22b6.html"	"4203"	"html"	"perte de la culture"	"VERGERS"	"verger"	"arboriculture fruitière"	"PommierCarpocapse :"	"616-623"	"IRI=http://ontology.inrae.fr/frenchcropusage/Arboriculture_fruitiere, tomap-classifier=exact, similarity=1.0, skos-prefLabel=arboriculture fruitière, skos-prefLabel=arboriculture fruitière, skos-prefLabel=arboriculture fruitière, skos-prefLabel=arboriculture fruitière, skos-prefLabel=arboriculture fruitière, lemma=verger, form=VERGERS"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/05bsv_jevi_20190502_cle8f22b6.html"	"4203"	"html"	"GASTINEL - POLLENIZ"	"JARDINS ORNEMENTAUX"	"jardin ornemental"	"zone non agricole"	"B uis Psylle : pré"	"1058-1077"	"IRI=http://ontology.inrae.fr/frenchcropusage/Zones_non_agricoles, tomap-candidate-head=Jardin, tomap-concept-synonym=jardins, tomap-significant-head=Jardin, tomap-classifier=head, similarity=0.5, skos-prefLabel=zone non agricole, skos-prefLabel=zone non agricole, skos-prefLabel=zone non agricole, skos-prefLabel=zone non agricole, skos-prefLabel=zone non agricole, lemma=jardinornemental, form=JARDINS ORNEMENTAUX"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/05bsv_jevi_20190502_cle8f22b6.html"	"4203"	"html"	"Régions lavalloise,"	"espaces verts"	"espace vert"	"zone non agricole"	". Observations Le si"	"1159-1172"	"IRI=http://ontology.inrae.fr/frenchcropusage/Zones_non_agricoles, tomap-classifier=exact, similarity=1.0, skos-prefLabel=zone non agricole, skos-prefLabel=zone non agricole, skos-prefLabel=zone non agricole, skos-prefLabel=zone non agricole, skos-prefLabel=zone non agricole, lemma=espacevert, form=espaces verts"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/05bsv_jevi_20190502_cle8f22b6.html"	"4203"	"html"	"de Sainte Hermine."	"Espaces verts"	"espace vert"	"zone non agricole"	", parc et jardins d'"	"2739-2752"	"IRI=http://ontology.inrae.fr/frenchcropusage/Zones_non_agricoles, tomap-classifier=exact, similarity=1.0, skos-prefLabel=zone non agricole, skos-prefLabel=zone non agricole, skos-prefLabel=zone non agricole, skos-prefLabel=zone non agricole, skos-prefLabel=zone non agricole, lemma=espacevert, form=Espaces verts"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/05bsv_jevi_20190502_cle8f22b6.html"	"4203"	"html"	"aces verts, parc et"	"jardins d'amateurs"	"jardin d'amateurs"	"zone non agricole"	". Observations Hormi"	"2762-2780"	"IRI=http://ontology.inrae.fr/frenchcropusage/Zones_non_agricoles, tomap-candidate-head=Jardin, tomap-concept-synonym=jardins, tomap-significant-head=Jardin, tomap-classifier=head, similarity=0.5, skos-prefLabel=zone non agricole, skos-prefLabel=zone non agricole, skos-prefLabel=zone non agricole, skos-prefLabel=zone non agricole, skos-prefLabel=zone non agricole, lemma=jardind'amateurs, form=jardins d'amateurs"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/05bsv_jevi_20190502_cle8f22b6.html"	"4203"	"html"	"ervations Hormis un"	"jardin"	"jardin"	"zone non agricole"	"(pays d'Ancenis), l"	"2805-2811"	"IRI=http://ontology.inrae.fr/frenchcropusage/Zones_non_agricoles, tomap-classifier=exact, similarity=1.0, skos-prefLabel=zone non agricole, skos-prefLabel=zone non agricole, skos-prefLabel=zone non agricole, skos-prefLabel=zone non agricole, skos-prefLabel=zone non agricole, lemma=jardin, form=jardin"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/05bsv_jevi_20190502_cle8f22b6.html"	"4203"	"html"	"région lavalloise,"	"jardins d'amateurs"	"jardin d'amateurs"	"zone non agricole"	". Observations Depui"	"4104-4122"	"IRI=http://ontology.inrae.fr/frenchcropusage/Zones_non_agricoles, tomap-candidate-head=Jardin, tomap-concept-synonym=jardins, tomap-significant-head=Jardin, tomap-classifier=head, similarity=0.5, skos-prefLabel=zone non agricole, skos-prefLabel=zone non agricole, skos-prefLabel=zone non agricole, skos-prefLabel=zone non agricole, skos-prefLabel=zone non agricole, lemma=jardind'amateurs, form=jardins d'amateurs"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/05bsv_jevi_20190502_cle8f22b6.html"	"4203"	"html"	", y compris les lys"	"géants"	"géant"	"miscanthus"	"d'Himalaya. En Maye"	"4324-4330"	"IRI=http://ontology.inrae.fr/frenchcropusage/Miscanthus_industriels, tomap-candidate-head=géants, tomap-concept-synonym=miscanthus Géante, tomap-significant-head=géants, tomap-classifier=head, similarity=0.5, skos-prefLabel=miscanthus, skos-prefLabel=miscanthus, skos-prefLabel=miscanthus, lemma=géant, form=géants"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/05bsv_jevi_20190502_cle8f22b6.html"	"4203"	"html"	"aya. En Mayenne, le"	"jardin"	"jardin"	"zone non agricole"	"surveillé en est to"	"4358-4364"	"IRI=http://ontology.inrae.fr/frenchcropusage/Zones_non_agricoles, tomap-classifier=exact, similarity=1.0, skos-prefLabel=zone non agricole, skos-prefLabel=zone non agricole, skos-prefLabel=zone non agricole, skos-prefLabel=zone non agricole, skos-prefLabel=zone non agricole, lemma=jardin, form=jardin"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/05bsv_jevi_20190502_cle8f22b6.html"	"4203"	"html"	"du bocage vendéen,"	"jardins d'amateurs"	"jardin d'amateurs"	"zone non agricole"	". Aphrophore - cica"	"5186-5204"	"IRI=http://ontology.inrae.fr/frenchcropusage/Zones_non_agricoles, tomap-candidate-head=Jardin, tomap-concept-synonym=jardins, tomap-significant-head=Jardin, tomap-classifier=head, similarity=0.5, skos-prefLabel=zone non agricole, skos-prefLabel=zone non agricole, skos-prefLabel=zone non agricole, skos-prefLabel=zone non agricole, skos-prefLabel=zone non agricole, lemma=jardind'amateurs, form=jardins d'amateurs"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/05bsv_jevi_20190502_cle8f22b6.html"	"4203"	"html"	"(principalement sur"	"rosier"	"rosier"	"rosier"	"grimpant Pierre de"	"7785-7791"	"IRI=http://ontology.inrae.fr/frenchcropusage/Rosiers, tomap-classifier=exact, similarity=1.0, skos-prefLabel=rosier, skos-prefLabel=rosier, lemma=rosier, form=rosier"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/05bsv_jevi_20190502_cle8f22b6.html"	"4203"	"html"	"iaires observés sur"	"rosier"	"rosier"	"rosier"	", dans le BSV JEVI n"	"8519-8525"	"IRI=http://ontology.inrae.fr/frenchcropusage/Rosiers, tomap-classifier=exact, similarity=1.0, skos-prefLabel=rosier, skos-prefLabel=rosier, lemma=rosier, form=rosier"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/05bsv_jevi_20190502_cle8f22b6.html"	"4203"	"html"	"e d'huile végétale ("	"colza"	"colza"	"colza"	"). Un traitement à b"	"8895-8900"	"IRI=http://ontology.inrae.fr/frenchcropusage/Colzas, tomap-classifier=exact, similarity=1.0, skos-prefLabel=colza, lemma=colza, form=colza"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/05bsv_jevi_20190502_cle8f22b6.html"	"4203"	"html"	"lloise, d'amateurs."	"jardins
Observations"	"jardin observation"	"zone non agricole"	"Le site présente de"	"9324-9344"	"IRI=http://ontology.inrae.fr/frenchcropusage/Zones_non_agricoles, tomap-candidate-head=Jardin, tomap-concept-synonym=jardins, tomap-significant-head=Jardin, tomap-classifier=head, similarity=0.5, skos-prefLabel=zone non agricole, skos-prefLabel=zone non agricole, skos-prefLabel=zone non agricole, skos-prefLabel=zone non agricole, skos-prefLabel=zone non agricole, lemma=jardinobservation, form=jardins
Observations"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/05bsv_jevi_20190502_cle8f22b6.html"	"4203"	"html"	"N°05 DU 2 MAI 2019"	"POTAGERS"	"potager"	"jardins familiaux"	"C hou Réseaux d'obs"	"10016-10024"	"IRI=http://ontology.inrae.fr/frenchcropusage/Cultures_jardins_familiaux, tomap-classifier=exact, similarity=1.0, skos-prefLabel=jardins familiaux, skos-prefLabel=jardins familiaux, skos-prefLabel=jardins familiaux, skos-prefLabel=jardins familiaux, skos-prefLabel=jardins familiaux, lemma=potager, form=POTAGERS"
